1;00:00:00,000 --> 00:00:03,810;Toda etapa que se encerra deve ser comemorada.
2;00:00:03,810 --> 00:00:08,100;Em 2020, aprendemos que ficar afastados hoje,
3;00:00:08,100 --> 00:00:11,500;significa estarmos juntos no futuro.
4;00:00:11,500 --> 00:00:17,890;Trabalhamos para que você tenha sucesso e felicidade em seus negócios.
5;00:00:17,890 --> 00:00:20,800;E temos a certeza de que em 2021
6;00:00:20,800 --> 00:00:25,040;iremos trabalhar ainda mais pela sua satisfação.
7;00:00:25,040 --> 00:00:29,070;Com muita esperança, amor e fé...
8;00:00:29,070 --> 00:00:33,120;Um lindo Natal e um feliz Ano novo
;;
;;
