1;00:00:00,000 --> 00:00:02,830;Uma nova comunicação está chegando
2;00:00:02,830 --> 00:00:10,480;O mundo dos negócios exige cada vez que sua empresa busque excelência em seus processos e esteja focada em seus negócios ou serviços.
3;00:00:10,480 --> 00:00:25,450;Dar visibilidade ao seu negócio é crucial para alcançar o tão desejado público-alvo. Por isso, contar com um bom veículo social, que faça a sua marca ser conhecida em sua região, é uma excelente estratégia de engajamento.
4;00:00:25,450 --> 00:00:41,370;O Diário de Bordo é uma revista de produção autoral, com foco nas interações e na vida social, trazendo a seus leitores e anunciantes exclusividades, tendências e muito conteúdo, para uma imersão e viagem por diferentes ocasiões e novidades. 
5;00:00:41,370 --> 00:00:50,760;Tiragem mensal de 5.000 exemplares, conta com um grupo de colunistas e conteúdos exclusivos, com distribuição dirigida para a sociedade de Canoas, Região Metropolitana e Serra Gaúcha. 
6;00:00:50,760 --> 00:01:01,170;9.183 mil acessos por usuários únicos no site Diário de Bordo, por mês. 14.861 mil acessos a Revista Diário de Bordo impressa, por mês.
7;00:01:01,170 --> 00:01:12,220;Conheça também o Diário de Bordo Ativação e Diário de Bordo Estúdio. E nosso Projeto: A Hora é das Lives. Faça já, a sua proposta!
8;00:01:12,220 --> 00:01:18,570;Exclusividade, Lifestyle, Tendência e Inovação! Tudo em sua Revista Diário de Bordo.
;;
;;
